--- Solution of Y=AX: 
 X1175 =  -3.808 
 X1176 =   8.145 
 X1177 =   7.622 
 X1178 =  17.725 
 X1179 =  11.975 
 X1180 =  -1.191 
 X1181 =   5.512 
 X1182 =  -2.433 
 X1183 =  -7.857 
 X1184 = -12.989 
 X1185 =  -8.456 
 X1186 =  -8.376 
 X1187 =  -1.243 
 X1188 =  -7.638 
 X1189 =   9.645 
 X1190 =  13.970 
 X1191 =   4.069 
 X1192 =   1.736 
 X1193 =   4.588 
 X1194 =   5.769 
 X1195 =   3.677 
 X1196 =   6.046 
 X1197 =   7.622 
 X1198 =  -2.064 
 X1199 =  -3.495 
 X1200 =  18.399 
 X1201 =   2.747 
 X1202 =  -0.758 
 X1203 =  -6.194 
 X1204 =  -0.433 
